"X","abv","ibu","id","name","style","brewery_id","ounces"
1685,0.051,21,1718,"Firemans #4 Blonde Ale (2013)","Blonde Ale",128,12
1688,0.06,50,1086,"Four Squared (2015)","Blonde Ale",128,12
1689,0.051,21,830,"Firemans #4 Blonde Ale (2015)","Blonde Ale",128,12
1690,0.072,55,1021,"Watership Brown Ale","Brown Ale",475,12
1691,0.062,55,938,"Gangway IPA","IPA",475,12
1693,0.051,17,2516,"Farmer's Daughter Blonde","Blonde Ale",68,16
1694,0.055,45,2515,"Pump House IPA","IPA",68,16
1696,0.047,25,2513,"Vanilla Porter","Porter",68,16
1699,0.065,44,945,"Long Hammer IPA","IPA",487,16
1700,0.065,44,583,"Long Hammer IPA","IPA",487,12
1701,0.058,27,339,"Copper Hook (2011)","Red Ale",487,12
1707,0.09,60,1581,"Hammer & Sickle","Stout",110,12
1708,0.07,100,1176,"Redacted Rye IPA","IPA",110,16
1709,0.099,100,1006,"Elevation Triple India Pale Ale","IPA",110,12
1710,0.05,25,1005,"5:00 O'Clock Afternoon Ale","Blonde Ale",110,16
1711,0.07,100,636,"Ryeteous Rye IPA (2012)","IPA",110,16
1725,0.068,28,416,"Eugene Porter","Porter",44,12
1726,0.065,70,415,"Anti-Hero IPA","IPA",44,12
1728,0.057,42,2452,"Hustle","Red Ale",93,12
1730,0.06,60,2132,"Dad","Red Ale",93,12
1731,0.058,35,1993,"Panther","Porter",93,12
1734,0.072,75,1852,"Truth","IPA",93,12
1735,0.048,25,1851,"Cougar","Blonde Ale",93,12
1741,0.05,55,1771,"Lil SIPA","IPA",321,16
1743,0.05,100,2579,"Jah Mon","IPA",43,12
1768,0.07,80,1576,"RoughTail IPA","IPA",376,16
1773,0.056,40,1842,"Original Slacker Ale","Brown Ale",164,12
1777,0.056,35,1479,"1881 California Red","Red Ale",397,12
1781,0.056,35,882,"1881 California Red Ale","Red Ale",397,16
1783,0.068,66,1867,"Saint Archer IPA","IPA",288,12
1786,0.069,20,2599,"Sex Panther","Porter",30,12
1788,0.091,99,2063,"Count Hopula (Vault Series)","IPA",30,16
1790,0.05,15,1934,"SunSpot Golden Ale","Blonde Ale",30,12
1793,0.055,20,1073,"Epicenter Amber Ale","Red Ale",30,12
1795,0.07,85,1071,"Hop Shock IPA","IPA",30,12
1796,0.069,20,852,"Sex Panther (2014)","Porter",30,12
1801,0.07,85,317,"Hop Shock IPA (2010)","IPA",30,12
1804,0.055,20,124,"Epicenter Amber Ale (2010)","Red Ale",30,12
1807,0.089,88,2002,"Giant DIPA","IPA",252,16
1817,0.05,11,1477,"Oval Beach Blonde Ale","Blonde Ale",398,16
1823,0.045,30,1078,"Schlafly IPA","IPA",428,12
1824,0.05,30,1077,"Schlafly American Brown Ale","Brown Ale",428,12
1828,0.074,60,1302,"Blur India Pale Ale","IPA",432,12
1831,0.07,105,918,"Frankenlou's IPA","IPA",494,16
1832,0.07,55,917,"Becky's Black Cat Porter","Porter",494,16
1834,0.053,20,1768,"Stone Fort Brown Ale","Brown Ale",183,16
1835,0.077,40,1767,"Seventh Son Hopped Red Ale","Red Ale",183,16
1837,0.07,68,1765,"Golden Ratio IPA","IPA",183,16
1840,0.069,65,1539,"Monkey Fist IPA","IPA",385,12
1845,0.072,65,2239,"Torpedo","IPA",83,12
1850,0.05,28,1295,"Summerfest","Pilsener",83,12
1851,0.072,65,426,"Torpedo","IPA",83,16
1857,0.1,52,2574,"4Beans","Porter",46,12
1861,0.065,62,2090,"Bengali","IPA",46,24
1863,0.099,111,1696,"Hi-Res","IPA",46,12
1865,0.067,74,1591,"Autumnation (2013)","IPA",46,16
1869,0.064,62,1385,"Bengali Tiger","IPA",46,16
1870,0.099,85,1020,"3Beans","Porter",46,12
1871,0.059,47,778,"Brownstone","Brown Ale",46,16
1874,0.091,103,628,"Resin","IPA",46,12
1875,0.063,69,525,"Diesel","Stout",46,16
1880,0.064,62,422,"Bengali Tiger (2011)","IPA",46,16
1883,0.068,65,1521,"Modus Hoperandi","IPA",264,12
1884,0.058,15,1297,"Estival Cream Stout","Stout",264,12
1892,0.068,65,67,"Modus Hoperandi","IPA",264,12
1893,0.058,39,1792,"Iron Butt Red Ale","Red Ale",313,12
1894,0.071,92,1609,"Initial Point India Pale Ale","IPA",313,12
1898,0.06,70,2305,"Homefront IPA","IPA",163,12
1904,0.084,90,894,"Odyssey Imperial IPA","IPA",371,12
1906,0.07,113,24,"113 IPA","IPA",371,12
1911,0.07,88,2407,"Rule G IPA","IPA",115,12
1912,0.058,35,2406,"Murphy's Law","Red Ale",115,12
1917,0.05,22,407,"OB-1 Organic Ale","Brown Ale",191,12
1920,0.068,60,393,"Pako’s EyePA","IPA",191,12
1923,0.063,100,1596,"Dagger Falls IPA","IPA",309,12
1924,0.063,100,1595,"Dagger Falls IPA","IPA",309,12
1937,0.063,100,879,"Dagger Falls IPA","IPA",309,12
1939,0.055,40,1971,"Texas Pale Ale (TPA)","IPA",257,16
1943,0.048,32,1283,"Na Zdraví Pilsner","Pilsener",436,16
1944,0.055,65,1282,"Nice Rack IPA","IPA",436,16
1945,0.075,72,2362,"2014 IPA Cicada Series","IPA",133,16
1946,0.077,65,2346,"Sinister Minister Black IPA","IPA",133,16
1949,0.05,20,2296,"Suzy B Dirty Blonde Ale","Blonde Ale",133,12
1950,0.08,80,1745,"Mississippi Fire Ant","Red Ale",133,16
1952,0.05,20,1118,"Suzy B Dirty Blonde Ale","Blonde Ale",133,16
1957,0.085,110,1728,"Red Cockaded Ale","IPA",118,12
1958,0.092,100,1497,"Valkyrie Double IPA","IPA",118,12
1959,0.085,110,1011,"Red Cockaded Ale (2013)","IPA",118,12
1961,0.05,20,856,"Bombshell Blonde","Blonde Ale",118,16
1962,0.099,100,853,"PRO-AM (2012) (2012)","IPA",118,12
1967,0.05,20,44,"Bombshell Blonde","Blonde Ale",118,12
1968,0.047,35,2486,"Baby Daddy Session IPA","IPA",78,12
1987,0.065,52,1205,"Northern Lights India Pale Ale","IPA",383,16
1989,0.065,52,368,"Northern Lights India Pale Ale","IPA",383,12
1993,0.065,65,90,"Third Eye Pale Ale","IPA",119,12
1999,0.063,64,2150,"Beyond The Pale IPA","IPA",131,12
2011,0.054,32,357,"2012 Black Ale","Brown Ale",131,12
2016,0.051,31,953,"Wisco Disco","Red Ale",486,16
2023,0.072,70,637,"Monkeynaut IPA","IPA",412,12
2031,0.083,100,2415,"Unchained #18 Hop Silo","IPA",58,16
2034,0.054,23,2164,"Cowbell","Porter",25,16
2035,0.058,20,2085,"Hop Up Offa That Brett (2014)","IPA",25,16
2040,0.064,75,2001,"Fistful Of Hops Red","IPA",25,16
2041,0.063,75,2000,"Fistful of Hops Orange","IPA",25,16
2042,0.064,75,1999,"Fistful Of Hops Blue","IPA",25,16
2043,0.064,75,1996,"Fistful of Hops Green","IPA",25,16
2047,0.075,77,1420,"Grapefruit Jungle (GFJ)","IPA",25,16
2049,0.099,75,1367,"Bourbon Barrel Aged Timmie","Stout",25,16
2062,0.091,91,651,"Isis","IPA",25,16
2064,0.075,77,532,"Grapefruit Jungle (GFJ) (2011)","IPA",25,16
2075,0.073,69,1112,"Overrated! West Coast Style IPA","IPA",61,16
2076,0.075,90,329,"WET","IPA",61,16
2079,0.051,45,17,"Coffee Bender","Brown Ale",61,16
2080,0.051,45,16,"Bender","Brown Ale",61,16
2081,0.097,120,15,"Abrasive Ale","IPA",61,16
2084,0.062,99,12,"Furious","IPA",61,16
2085,0.073,50,1242,"Big Nose","IPA",447,12
2095,0.08,95,1229,"Dodgy Knight Imperial IPA","IPA",449,12
2097,0.05,44,663,"TailGate IPA","IPA",449,24
2098,0.05,44,662,"TailGate IPA","IPA",449,12
2100,0.05,19,622,"Blacktop Blonde","Blonde Ale",449,24
2101,0.05,19,362,"Blacktop Blonde","Blonde Ale",449,12
2105,0.062,35,1736,"Zombie Monkie","Porter",45,16
2108,0.068,110,1017,"Ethos IPA","IPA",45,16
2109,0.044,12,1009,"Tallgrass Pub Ale","Brown Ale",45,16
2117,0.072,93,104,"Oasis (2010)","IPA",45,16
2118,0.044,22,103,"Tallgrass Ale","Brown Ale",45,16
2120,0.063,60,101,"Tallgrass IPA","IPA",45,16
2124,0.07,80,544,"Old Elephant Foot IPA","IPA",490,16
2125,0.065,35,2640,"Peck's Porter","Porter",7,16
2137,0.063,23,2118,"Battle LIne","Brown Ale",215,12
2139,0.071,69,2116,"Brutus","IPA",215,12
2144,0.08,120,1111,"Heady Topper","IPA",272,16
2145,0.08,120,379,"Heady Topper","IPA",272,16
2146,0.046,20,1200,"Bomber Mountain Amber Ale (2013)","Red Ale",457,12
2147,0.07,75,1199,"Indian Paintbrush IPA","IPA",457,12
2148,0.048,16,1198,"Saddle Bronc Brown Ale (2013)","Brown Ale",457,12
2159,0.069,34,1562,"Grandma's Pecan","Brown Ale",33,16
2160,0.099,101,1561,"Double Trunk","IPA",33,16
2161,0.046,45,1749,"Just IPA","IPA",328,12
2174,0.04,18,2319,"Knotty Blonde Ale","Blonde Ale",153,12
2175,0.062,40,2317,"Fivepine Chocolate Porter","Porter",153,12
2176,0.062,82,2316,"Hoodoo Voodoo IPA","IPA",153,12
2177,0.053,22,1913,"Hydraulion Red","Red Ale",273,12
2178,0.06,50,1912,"40 Mile IPA","IPA",273,12
2187,0.058,20,2623,"Cafe Leche","Porter",17,16
2189,0.12,90,2621,"Csar","Stout",17,16
2191,0.085,115,1449,"Overlord Imperial IPA","IPA",17,16
2192,0.058,36,951,"Alloy","IPA",17,16
2193,0.051,22,950,"Rivet Irish Red Ale","Red Ale",17,16
2194,0.052,50,949,"3 Gear Robust Porter","Porter",17,16
2195,0.045,35,948,"Circuit Bohemian Pilsner","Pilsener",17,16
2197,0.07,60,1755,"Juke Joint IPA","IPA",152,12
2198,0.07,35,1754,"Parade Ground Coffee Porter","Porter",152,12
2200,0.045,18,529,"Tin Roof Blonde Ale","Blonde Ale",152,12
2202,0.045,28,494,"Perfect Tin Amber","Red Ale",152,12
2203,0.073,87,1856,"IPA & a Half","IPA",291,12
2207,0.062,72,1938,"Almanac IPA","IPA",265,12
2209,0.06,30,1936,"Farmer's Tan Red Ale","Red Ale",265,12
2214,0.075,93,2444,"Nugget Nectar","Red Ale",97,16
2217,0.075,85,1509,"Perpetual IPA","IPA",97,12
2219,0.062,65,641,"Hoppy Boy","IPA",520,16
2221,0.075,63,2458,"Chupahopra","IPA",38,12
2223,0.041,41,2235,"Day Hike Session","IPA",190,12
2224,0.048,48,1661,"Trailhead ISA","IPA",190,12
2225,0.052,27,1660,"Immersion Amber","Red Ale",190,12
2226,0.062,70,1659,"Evo IPA","IPA",190,12
2228,0.062,70,1173,"Evolutionary IPA (2012)","IPA",190,12
2230,0.054,20,519,"SoDo Brown Ale","Brown Ale",190,12
2231,0.052,27,518,"Immersion Amber Ale (2011)","Red Ale",190,12
2232,0.062,70,505,"Evolutionary IPA (2011)","IPA",190,12
2233,0.048,48,482,"Trailhead India Style Session Ale (2011)","IPA",190,12
2235,0.063,69,2497,"Wobble","IPA",74,16
2253,0.04,42,1925,"Trader Session IPA","IPA",159,12
2254,0.073,83,1723,"Hop Nosh IPA","IPA",159,12
2255,0.04,17,1212,"SUM'R","Blonde Ale",159,12
2257,0.073,82,1089,"Hop Notch IPA (2013)","IPA",159,12
2261,0.06,75,2372,"The Green Room","IPA",126,16
2271,0.085,90,2507,"Double Duckpin","IPA",71,12
2275,0.045,50,2190,"Campside Session IPA","IPA",202,16
2281,0.099,51,2562,"Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout","Stout",51,19.2
2286,0.099,90,1315,"Upslope Imperial India Pale Ale","IPA",51,19.2
2289,0.075,30,683,"Upslope Belgian Style Pale Ale","IPA",51,12
2296,0.053,22,382,"Common Sense Kentucky Common Ale","Brown Ale",546,16
2297,0.065,70,381,"Upstate I.P.W.","IPA",546,12
2299,0.09,75,1825,"Squatters Hop Rising Double IPA","IPA",302,12
2304,0.09,75,1680,"Squatters Hop Rising Double IPA (2014)","IPA",302,12
2314,0.075,31,1730,"Wynona's Big Brown Ale","Brown Ale",322,12
2316,0.073,85,1603,"Good Vibes IPA","IPA",322,12
2318,0.04,37,1846,"Wachusett Light IPA","IPA",295,12
2319,0.06,55,1845,"Green Monsta IPA","IPA",295,12
2320,0.056,50,1844,"Wachusett IPA","IPA",295,12
2322,0.085,85,1418,"Larry Imperial IPA","IPA",295,12
2325,0.04,37,1029,"Wachusett Light IPA (2013)","IPA",295,12
2328,0.06,55,618,"Green Monsta IPA","IPA",295,12
2330,0.052,67,2450,"Self Starter","IPA",94,16
2341,0.068,65,575,"Westbrook IPA","IPA",384,12
2344,0.058,55,1550,"Charlie in the Rye","IPA",351,12
2348,0.075,89,2343,"O’Malley’s IPA","IPA",132,12
2360,0.082,100,1619,"Hop Slayer Double IPA","IPA",361,12
2363,0.052,27,971,"Phat Chance","Blonde Ale",361,12
2364,0.082,100,740,"Hop Slayer Double IPA (2011)","IPA",361,12
2365,0.082,100,430,"Hop Slayer Double IPA (2011)","IPA",361,12
2370,0.068,21,2253,"Blonde Hunny","IPA",181,12
2379,0.074,83,762,"Ace IPA","IPA",509,16
2380,0.08,31,761,"P-51 Porter","Porter",509,16
2382,0.071,60,2148,"#002 American I.P.A.","IPA",211,12
2384,0.048,38,2146,"#004 Session I.P.A.","IPA",211,12
2386,0.062,61,1470,"Ananda India Pale Ale","IPA",239,12
2388,0.058,72,2627,"Train Hopper","IPA",14,12
2390,0.059,135,1676,"Troopers Alley IPA","IPA",344,12
2393,0.065,82,2417,"4000 Footer IPA","IPA",109,12
2395,0.065,69,1697,"Be Hoppy IPA","IPA",339,16
2396,0.069,69,2194,"Worthy IPA","IPA",199,12
2398,0.077,30,1513,"Lights Out Vanilla Cream Extra Stout","IPA",199,12
2399,0.069,69,1512,"Worthy IPA (2013)","IPA",199,12
2405,0.067,45,928,"Belgorado","IPA",424,12
