"name","Radius","Period","Discovery_method","star_mass","star_radius","star_temperature"
"Kepler-981 b",0.206,4.46975774,"transit",0.98,0.96,5718
"HATS-20 b",0.776,3.7992969,"transit",0.91,0.892,5406
"Kepler-1448 b",0.144,12.27065865,"transit",0.95,0.93,5774
"Kepler-965 b",0.302,134.2527298,"transit",1.05,1.15,5886
"Kepler-438 b",0.1,35.23319,"transit",0.544,0.52,3748
"Kepler-1521 b",0.223,47.14840805,"transit",0.81,0.76,5042
"Kepler-722 b",0.235,4.09357325,"transit",1.03,1.05,5863
"Kepler-722 c",0.252,105.144749,"transit",1.03,1.05,5863
"Kepler-1488 b",0.166,39.8189932,"transit",1.05,1.31,5820
"Kepler-1064 b",0.138,16.54080322,"transit",0.85,0.79,5153
"Kepler-26 b",0.26792,12.282972,"transit",0.634,0.571,4486
"Kepler-26 c",0.26792,17.251204,"transit",0.634,0.571,4486
"Kepler-26 d",0.09751,3.543919,"transit",0.634,0.571,4486
"Kepler-26 e",0.21962,46.827915,"transit",0.634,0.571,4486
"Kepler-478 b",0.242,13.2217576,"transit",0.85,0.8,5210
"Kepler-1047 b",0.186,56.1886887,"transit",1.08,1.13,5754
"Kepler-1047 c",0.088,3.18897601,"transit",1.08,1.13,5754
"KOI-830 b",1.08,3.52563254,"transit",0.87,0.8,5150
"CoRoT-3 b",1.01,4.2568,"transit",1.37,1.56,6740
"Kepler-1120 b",0.123,2.94902905,"transit",0.78,0.74,4904
"Kepler-230 b",0.38822,32.625555,"transit",0.918,0.817,5588
"Kepler-230 c",0.18591,91.773242,"transit",0.918,0.817,5588
"WASP-71 b",1.46,2.9036747,"transit",1.559,2.26,6050
"Kepler-96 b",0.243318,16.2385,"transit",1,1.02,5690
"Kepler-1227 b",0.204,94.2887577,"transit",0.97,0.95,5747
"Kepler-888 b",0.157,70.6979061,"transit",0.97,0.9,5875
"Kepler-334 c",0.13032,12.758005,"transit",1.06,1.068,5828
"Kepler-334 b",0.10207,5.470319,"transit",1.06,1.068,5828
"Kepler-334 d",0.12849,25.09849,"transit",1.06,1.068,5828
"Kepler-297 b",0.26154,38.871826,"transit",1.04,1.04,6150
"Kepler-297 c",0.66,74.920137,"transit",1.04,1.04,6150
"Kepler-36 b",0.13778,13.83988,"transit",1.071,1.619,5911
"Kepler-36 c",0.33526835,16.23855,"transit",1.071,1.619,5911
"HATS-29 b",1.251,4.6058749,"transit",1.032,1.073,5670
"Kepler-1428 b",0.146,10.67607169,"transit",1.28,1.36,6184
"WASP-107 b",0.94,5.72149,"Others",0.69,0.66,4430
"Kepler-956 b",0.268,5.24867263,"transit",1.1,1.15,6040
"Kepler-110 b",0.16677,12.691112,"transit",1.067,1.149,5960
"Kepler-110 c",0.2014,31.719775,"transit",1.067,1.149,5960
"KIC 9663113 b",0.41,572.3847,"transit",0.975,1.03,6065
"KOI-179.01",0.2935,20.74028413,"transit",0.975,1.03,6065
"Kepler-1470 b",0.095,16.2950903,"transit",0.8,0.76,4961
"Kepler-276 c",0.30984,31.884362,"transit",1.05,1.046,6105
"Kepler-276 b",0.26154,14.12841,"transit",1.05,1.046,6105
"Kepler-276 d",0.25608,48.648869,"transit",1.05,1.046,6105
"Kepler-978 b",0.267,49.6221509,"transit",1.07,1.09,6002
"Kepler-1298 b",0.117,7.12811928,"transit",1.45,2,6339
"WASP-25 b",1.26,3.76483,"transit",1,0.95,5750
"Kepler-719 b",0.76,5.00731778,"transit",0.99,0.98,5777
"Kepler-948 b",0.165,7.76846622,"transit",0.96,0.94,5679
"Kepler-1280 b",0.167,66.5579057,"transit",1.2,1.32,6227
"Kepler-1254 b",0.138,9.99113313,"transit",0.78,0.75,4985
"Kepler-1254 c",0.116,3.60084276,"transit",0.78,0.75,4985
"Kepler-1254 d",0.117,5.72717226,"transit",0.78,0.75,4985
"Kepler-338 b",0.22236,13.726976,"transit",1.101,1.735,5923
"Kepler-338 c",0.21324,24.310856,"transit",1.101,1.735,5923
"Kepler-338 d",0.27339,44.431014,"transit",1.101,1.735,5923
"Kepler-338 e",0.139,9.34149,"transit",1.101,1.735,5923
"Kepler-318 b",0.42922,4.662715,"transit",0.98,1.189,5746
"Kepler-318 c",0.33536,11.815007,"transit",0.98,1.189,5746
"Kepler-985 b",0.266,116.331901,"transit",0.91,0.85,5434
"WASP-157 b",1.045,3.9516205,"RV",1.26,1.11,5840
"Kepler-445 b",0.143986,2.984151,"transit",0.18,0.21,3157
"Kepler-445 c",0.228737,4.871229,"transit",0.18,0.21,3157
"Kepler-445 d",0.113913,8.15275,"transit",0.18,0.21,3157
"Kepler-1517 b",0.871,5.54608367,"transit",1.58,1.95,7010
