"name","Radius","Period","Discovery_method","star_mass","star_radius","star_temperature"
"Kepler-750 b",0.274,9.42887179,"transit",1.15,1.23,6160
"Kepler-750 c",0.145,4.08899022,"transit",1.15,1.23,6160
"Kepler-1062 b",0.157,9.30412078,"transit",0.75,0.7,4597
"Kepler-1474 b",0.193,36.4333452,"transit",1.04,1.04,5870
"Kepler-435 b",1.99,8.6001536,"transit",1.538,3.21,6161
"Kepler-1228 b",0.137,0.57736958,"transit",0.78,0.74,5063
"Kepler-1646 b",0.11,4.48558383,"transit",0.24,0.26,3299
"EPIC 201445392 b",0.319,10.35239,"transit",0.78,0.74,4870
"EPIC 201445392 c",0.215,5.06416,"transit",0.78,0.74,4870
"Kepler-1337 b",0.215,24.4002549,"transit",0.7,0.67,4523
"Kepler-1221 b",0.168,12.00096042,"transit",0.87,0.82,5194
"WASP-32 b",1.19,2.718659,"transit",1.1,1.09,6100
"2M 0746+20 b",0.97,4640,"imaging",0.12,0.089,2205
"Kepler-369 c",0.12849,14.871572,"transit",0.47,0.471,3591
"Kepler-369 b",0.10298,2.732756,"transit",0.47,0.471,3591
"Kepler-125 b",0.21598,4.164389,"transit",0.537,0.512,3810
"Kepler-125 c",0.06744,5.774464,"transit",0.537,0.512,3810
"Kepler-1403 b",0.191,5.19492202,"transit",1.11,1.15,6060
"Kepler-733 b",0.252,20.83424726,"transit",0.9,0.86,5418
"HAT-P-15 b",1.072,10.863502,"transit",1.013,1.08,5568
"Kepler-630 b",0.284,161.4743937,"transit",1.02,1.04,5829
"Kepler-632 b",0.197,30.99660733,"transit",0.91,0.84,5322
"Kepler-1176 b",0.219,24.1738579,"transit",1.01,1.02,5844
"Kepler-734 b",0.318,6.10485286,"transit",0.85,0.78,5326
"Kepler-1471 b",0.126,3.63899398,"transit",0.95,0.93,5660
"Kepler-991 b",0.227,82.5342519,"transit",0.64,0.61,4392
"Kepler-1572 b",0.084,5.49548621,"transit",0.97,0.95,5618
"Kepler-250 c",0.20778,7.156804,"transit",0.753,0.805,5160
"Kepler-250 d",0.19866,17.648312,"transit",0.753,0.805,5160
"Kepler-250 b",0.10298,4.148141,"transit",0.753,0.805,5160
"Kepler-1626 b",0.18,4.13962966,"transit",1.51,1.85,6826
"HATS-21 b",1.123,3.5543973,"transit",1.08,1.021,5695
"KOI-2113 b",0.206,12.331,"transit",0.897,0.806,5376
"KOI-2113 c",0.241,15.943,"transit",0.897,0.806,5376
"Kepler-244 b",0.25152,4.311792,"transit",0.91,0.803,5554
"Kepler-244 d",0.21051,20.050401,"transit",0.91,0.803,5554
"Kepler-244 c",0.18682,9.767292,"transit",0.91,0.803,5554
"Kepler-934 b",0.186,55.6738309,"transit",0.81,0.77,5001
"WASP-61 b",1.24,3.8559,"transit",1.22,1.36,6250
"Kepler-489 b",0.689,17.27629612,"transit",0.82,0.76,5014
"Kepler-1374 b",0.204,10.65276707,"transit",0.85,0.81,5323
"Kepler-893 b",0.27,6.33855761,"transit",1,0.99,5820
"WASP-89 b",1.04,3.3564227,"transit",0.92,0.88,4955
"Kepler-1195 b",0.186,8.49642241,"transit",0.74,0.71,4965
"Kepler-1422 b",0.18,18.6051942,"transit",1.15,1.23,6194
"Kepler-324 c",0.28706,51.805612,"transit",0.85,0.84,5194
"Kepler-324 b",0.10389,4.385315,"transit",0.85,0.84,5194
"Kepler-649 b",0.202,29.90722674,"transit",0.97,0.94,5871
"Kepler-199 b",0.28342,23.637604,"transit",1.003,0.967,5644
"Kepler-199 c",0.29617,67.093408,"transit",1.003,0.967,5644
"Kepler-1199 b",0.103,15.0447198,"transit",0.94,1.17,5889
"KIC 6436029 b",0.274,505.45,"transit",0.83,0.83,4817
"WASP-36 b",1.269,1.5373653,"transit",1.02,0.943,5881
"WASP-67 b",1.4,4.61442,"transit",0.87,0.87,5200
"Kepler-1360 b",0.303,40.5286413,"transit",1.51,1.83,6778
"HAT-P-66 b",1.59,2.972086,"Others",1.255,1.881,6002
"Kepler-771 b",0.162,8.73485836,"transit",1.03,1.05,5906
"Kepler-411 c",0.292,7.83442788,"transit",0.81,0.75,4906
"Kepler-111 c",0.66525,224.784608,"transit",1.171,1.157,5952
"Kepler-111 b",0.14399,3.341815,"transit",1.171,1.157,5952
"Kepler-1185 b",0.119,104.3518976,"transit",0.96,0.87,5622
"KOI-680 b",1.99,8.6001536,"transit",1.538,3.21,6090
"Kepler-1133 b",0.176,11.55562343,"transit",0.93,0.9,5569
"Kepler-746 b",0.099,3.48159251,"transit",0.91,0.93,5418
"Kepler-1294 b",0.285,115.6862258,"transit",0.99,0.97,5776
"Kepler-1463 b",0.166,25.15864,"transit",0.96,0.95,5679
"Kepler-773 b",0.128,3.74910006,"transit",1.04,1.01,5850
"Kepler-1269 b",0.145,37.3331536,"transit",1.1,1.15,5998
"Kepler-1161 b",0.19,10.71252541,"transit",0.59,0.57,4253
"Kepler-142 c",0.26063,4.761702,"transit",0.988,1.269,5790
"Kepler-142 b",0.18135,2.024152,"transit",0.988,1.269,5790
"Kepler-142 d",0.19684,41.809118,"transit",0.988,1.269,5790
"Kepler-1633 b",0.141,186.404271,"transit",1.2,1.32,6256
"Kepler-1079 b",0.145,13.24503188,"transit",1.08,1.36,5758
"Kepler-1118 b",0.244,38.6715075,"transit",0.96,0.97,5688
"Kepler-1076 b",0.071,6.14727918,"transit",0.79,0.74,4868
"Kepler-215 d",0.2178,30.864423,"transit",0.977,1.027,5739
"Kepler-215 b",0.14763,9.360672,"transit",0.977,1.027,5739
"Kepler-215 c",0.1613,14.667108,"transit",0.977,1.027,5739
"Kepler-215 e",0.15948,68.16101,"transit",0.977,1.027,5739
"KELT-2A b",1.29,4.1137913,"transit",1.314,1.836,6148
"Kepler-865 b",0.222,14.16399294,"transit",0.93,0.92,5570
"Kepler-84 b",0.22509,8.725818,"transit",1.02,1.169,6031
"Kepler-84 c",0.25152,12.882779,"transit",1.02,1.169,6031
"Kepler-84 e",0.23694,27.434389,"transit",1.02,1.169,6031
"Kepler-84 d",0.12576,4.224537,"transit",1.02,1.169,6031
"Kepler-84 f",0.20049,44.552169,"transit",1.02,1.169,6031
"Kepler-914 b",0.123,4.40966548,"transit",1.1,1.15,5877
"Kepler-1173 b",0.079,0.7698536,"transit",0.86,0.82,5252
"Kepler-752 b",0.251,18.82747265,"transit",0.87,0.83,5373
"K2-35 b",0.0964,2.39991,"Others",0.663,0.601,4426
"K2-35 c",0.151,5.60906,"Others",0.663,0.601,4426
"Kepler-1467 b",0.294,47.0569043,"transit",0.86,0.82,5332
"Kepler-643 b",0.906,16.33889626,"transit",1,2.52,4908
"Kepler-512 b",0.24,34.43587975,"transit",1.17,1.3,5997
"KELT-4A b",1.699,2.9895936,"transit",1.201,1.61,6206
"Kepler-1401 b",0.15,11.20066445,"transit",1.07,1.1,5964
"Kepler-1347 b",0.092,14.00947528,"transit",0.82,0.79,5193
"OGLE2-TR-L9 b",1.614,2.4855335,"transit",1.52,1.53,6933
"Kepler-1378 b",0.196,11.95398936,"transit",0.7,0.67,4407
"Kepler-1462 b",0.341,65.6488341,"transit",1,1,5756
"Kepler-1459 b",0.121,62.8691611,"transit",0.78,0.74,4828
"Kepler-523 b",0.175,5.83598311,"transit",0.93,0.86,5515
"Kepler-686 b",1.084,1.59474546,"transit",0.94,0.92,5649
"Kepler-1513 b",0.755,160.88465087,"transit",0.99,0.97,5617
"Kepler-1035 b",0.104,2.71407755,"transit",0.98,0.97,5763
"Kepler-583 b",0.203,6.5100253,"transit",0.94,0.91,5523
"K2-77 b",0.205,8.199796,"Others",0.8,0.76,4970
"Kepler-521 b",0.284,22.20813214,"transit",1.34,1.46,6406
"Kepler-1091 b",0.13,1.43474156,"transit",1.01,1.03,5851
"Kepler-1264 b",0.105,0.96852602,"transit",0.99,0.98,5791
"Kepler-565 b",0.325,4.24374723,"transit",0.98,0.95,5735
"Kepler-223 d",0.27157,14.788759,"transit",0.95,1.017,5829
"Kepler-223 c",0.18226,9.848183,"transit",0.95,1.017,5829
"Kepler-223 e",0.21871,19.721734,"transit",0.95,1.017,5829
"Kepler-223 b",0.15401,7.384108,"transit",0.95,1.017,5829
"HAT-P-41 b",1.685,2.69404,"transit",1.418,1.683,6390
"Kepler-892 b",0.251,13.7521072,"transit",0.75,0.72,4747
"Kepler-540 b",0.242,172.7049784,"transit",1.02,1.08,5946
"Kepler-866 b",0.145,2.61703254,"transit",0.75,0.71,4751
"Kepler-711 b",0.304,23.58914398,"transit",0.84,0.8,5222
"Kepler-1051 b",0.303,25.96200249,"transit",1.43,1.73,6675
"Kepler-739 b",0.296,12.53248465,"transit",0.93,0.9,5601
"Kepler-1014 b",0.213,16.57110363,"transit",0.88,0.84,5388
"Kepler-1139 b",0.106,0.81316672,"transit",0.94,0.91,5550
"Kepler-793 b",0.122,4.24153639,"transit",0.98,0.97,5745
"Kepler-509 b",0.222,41.74600392,"transit",1.1,1.2,6060
"Kepler-959 b",0.391,14.80074836,"transit",1.6,2.01,7005
"Kepler-1172 b",0.285,26.0204423,"transit",0.92,0.89,5558
"EPIC 216468514 b",1.44,3.31392,"Others",1.3,1.78,6030
"WASP-48 b",1.67,2.143634,"transit",1.19,1.75,5920
"Kepler-1230 b",0.242,9.95661537,"transit",1.06,1.08,5961
"WASP-5 b",1.171,1.6284246,"transit",1,1.084,5700
"Kepler-542 b",0.14,13.14497566,"transit",0.93,0.9,5526
"HATS-12 b",1.35,3.142833,"transit",1.49,2.21,6408
"HAT-P-23 b",1.368,1.212884,"transit",1.13,1.203,5905
"EPIC 201754305 c",0.227,19.07863,"transit",0.68,0.66,4742
"EPIC 201754305 b",0.18,7.6188,"transit",0.68,0.66,4742
"Kepler-1516 b",0.156,7.25931979,"transit",1.04,1.07,5904
"Kepler-412 b",1.325,1.720861232,"transit",1.167,1.287,5750
"OGLE-TR-211 b",1.26,3.67724,"transit",1.33,1.64,6325
"Kepler-1457 b",0.178,51.1110243,"transit",1.01,1.01,5866
"Kepler-1018 b",0.23,49.1013514,"transit",0.91,0.88,5518
"CoRoT-8 b",0.57,6.21229,"transit",0.88,0.77,5080
"Kepler-1627 b",0.329,7.20283653,"transit",0.87,0.84,5445
"Kepler-729 b",0.319,3.16635371,"transit",0.94,0.91,5633
"KOI-89.01",0.45,84.69,"transit",1.965,2.3,7717
"KOI-89.02",0.43,207.58,"transit",1.965,2.3,7717
"Kepler-337 c",0.18682,9.693201,"transit",1.021,1.761,5684
"Kepler-337 b",0.14034,3.292781,"transit",1.021,1.761,5684
"Kepler-1094 b",0.284,78.1000231,"transit",1.14,1.21,6112
"Kepler-1142 b",0.131,18.3027248,"transit",0.97,0.96,5685
"Kepler-823 b",0.14,4.16809082,"transit",0.98,0.96,5643
"Kepler-582 b",0.328,18.49235668,"transit",0.93,0.91,5564
"WASP-122 b",1.972,1.7100567,"transit",1.4,1.567,5720
"HAT-P-21 b",1.024,4.124461,"transit",0.947,1.105,5588
"Kepler-1359 b",0.252,59.4970952,"transit",0.78,0.72,4709
"HAT-P-67 b",2.085,4.81010205,"Others",1.642,1.546,6406
"HAT-P-34 b",1.197,5.4527,"transit",1.392,1.535,6442
"Kepler-658 b",0.145,1.28707676,"transit",0.63,0.6,4103
"Kepler-1473 b",0.106,14.4273551,"transit",1.09,1.09,6046
